,anomes,numberCases,anomes_real,ano,sarampo,tosse,febre,coriza,conjuntivite,exantema_maculopapular,exantema,manchas_de_Koplik,Koplik,manchas_vermelhas_no_corpo,manchas_vermelhas,fotofobia,triplice_viral_d1,triplice_viral_d2,tetra_viral,mortal_idade_ate1ano,mortal_idade_1a4anos,mortal_idade_5a9anos,mortalidade_infantil_ate9anos,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min,total_pop_homens,total_pop_mulheres
21,201910,2053,201911,2019,34.5,55.0,68.25,60.75,96.0,32.75,69.0,58.0,55.75,62.75,73.0,59.25,93.12,81.55,34.24,2738,472,263,3473,68.6,25.12252939293743,41.6,-5.6,100.0,5.0,102760295,107386830
22,201911,1319,201912,2019,23.5,45.5,67.5,58.0,88.25,13.0,62.75,39.75,47.75,52.5,70.0,52.75,93.12,81.55,34.24,2739,487,267,3493,64.4,25.22446082850753,44.5,1.8,100.0,7.0,102760295,107386830
23,201912,1848,202001,2019,10.8,50.8,64.8,62.8,82.4,0.0,53.6,0.0,14.6,71.6,75.6,51.0,93.12,81.55,34.24,2804,481,278,3563,67.6,25.273168307326106,44.2,2.8,100.0,7.0,102760295,107386830
24,202001,2147,202002,2020,8.75,23.0,41.0,4.75,90.25,0.0,63.0,0.0,33.0,72.0,87.0,63.75,80.88,64.27,21.01,2817,425,265,3507,76.4,25.146325013996787,44.7,-23.9,100.0,7.0,103527689,108228003
25,202002,2608,202003,2020,42.5,32.0,43.5,10.0,83.75,13.75,75.25,0.0,39.5,87.25,93.25,71.5,80.88,64.27,21.01,2671,386,229,3286,87.8,24.765540708084608,40.8,-37.8,100.0,7.0,103527689,108228003
26,202003,823,202004,2020,23.8,68.2,72.0,46.8,77.2,10.8,79.4,20.0,31.8,84.0,89.2,64.0,80.88,64.27,21.01,2925,499,234,3658,79.6,24.49565001866897,44.4,-44.4,100.0,7.0,103527689,108228003
27,202004,69,202005,2020,7.25,38.0,57.75,17.5,65.75,25.0,61.75,0.0,11.5,84.5,78.25,71.75,80.88,64.27,21.01,2696,378,202,3276,96.0,23.161267458626355,40.5,-42.3,100.0,7.0,103527689,108228003
28,202005,71,202006,2020,6.0,31.8,50.2,15.2,51.2,0.0,61.8,15.2,13.8,72.4,77.6,67.0,80.88,64.27,21.01,2786,394,233,3413,81.2,21.270716107933566,41.8,-46.0,100.0,4.0,103527689,108228003
29,202006,83,202007,2020,5.25,26.75,44.0,13.75,53.25,0.0,57.25,20.25,11.0,69.25,75.0,72.5,80.88,64.27,21.01,2540,320,220,3080,47.4,21.416681109398688,42.0,-46.2,100.0,5.0,103527689,108228003
30,202007,97,202008,2020,6.25,26.0,40.25,15.5,50.75,0.0,45.0,0.0,0.0,55.75,70.5,68.5,80.88,64.27,21.01,2520,329,210,3059,63.6,20.926525701665913,42.3,-51.3,100.0,7.0,103527689,108228003
31,202008,101,202009,2020,8.2,21.2,34.8,13.6,46.0,14.2,49.8,0.0,0.0,50.8,64.0,74.0,80.88,64.27,21.01,2516,379,211,3106,34.4,21.784205862566186,43.6,-51.6,100.0,6.0,103527689,108228003
32,202009,108,202010,2020,6.25,18.25,32.5,9.75,50.0,0.0,55.25,0.0,0.0,61.25,73.5,69.75,80.88,64.27,21.01,2380,347,178,2905,61.2,24.269080141843986,44.5,-48.0,100.0,7.0,103527689,108228003
33,202010,71,202011,2020,6.25,17.75,33.0,10.25,50.5,0.0,48.25,23.25,26.5,50.75,67.75,48.5,80.88,64.27,21.01,2526,396,187,3109,81.6,25.033699254662857,44.6,-45.0,100.0,7.0,103527689,108228003
34,202011,125,202012,2020,4.0,24.8,36.6,14.4,53.0,0.0,52.0,0.0,28.0,57.6,64.4,56.6,80.88,64.27,21.01,2397,354,202,2953,87.4,24.379073220726568,44.8,-29.4,100.0,7.0,103527689,108228003
35,202012,178,202101,2020,3.5,29.75,42.5,15.75,60.0,0.0,39.0,0.0,24.75,82.5,83.25,76.0,80.88,64.27,21.01,2665,379,211,3255,83.2,24.964263787411213,42.5,-23.4,100.0,7.0,103527689,108228003
36,202101,142,202102,2021,68.4,20.8,35.6,41.4,78.2,0.0,75.2,0.0,0.0,77.0,96.8,66.8,74.94,53.2,6.27,2772,389,248,3409,74.6,25.02759196063571,40.3,5.6,100.0,7.0,104271843,109045796
37,202102,97,202103,2021,52.5,23.25,38.5,45.25,75.25,0.0,79.25,0.0,14.25,69.0,89.25,86.0,74.94,53.2,6.27,2511,359,209,3079,88.8,24.410513962835804,40.1,1.5,100.0,7.0,104271843,109045796
38,202103,66,202104,2021,64.5,31.5,45.75,52.5,70.5,0.0,85.75,0.0,0.0,91.75,97.0,77.75,74.94,53.2,6.27,2838,436,228,3502,85.0,24.53866609420684,39.2,4.2,100.0,7.0,104271843,109045796
39,202104,51,202105,2021,63.0,24.5,41.5,41.0,65.75,0.0,86.0,0.0,0.0,78.25,86.25,82.5,74.94,53.2,6.27,2625,378,200,3203,66.2,23.19537832459538,45.0,-5.1,100.0,7.0,104271843,109045796
40,202105,25,202106,2021,63.6,33.2,43.6,63.0,63.8,0.0,75.4,20.0,0.0,70.6,82.0,74.0,74.94,53.2,6.27,2704,416,210,3330,76.6,21.538542993786987,44.9,-3.3,100.0,4.0,104271843,109045796
41,202106,31,202107,2021,59.75,31.0,36.5,53.0,62.25,0.0,77.75,19.5,43.25,63.0,78.75,77.25,74.94,53.2,6.27,2611,381,238,3230,42.8,20.48507974067931,37.4,-7.5,100.0,7.0,104271843,109045796
42,202107,25,202108,2021,45.25,30.25,33.25,63.25,62.5,0.0,61.5,0.0,11.5,59.5,74.0,63.75,74.94,53.2,6.27,2776,423,225,3424,41.8,19.882524114595057,39.1,-9.9,100.0,4.0,104271843,109045796
43,202108,21,202109,2021,53.8,31.2,32.6,52.8,64.6,0.0,81.8,0.0,7.8,53.0,77.0,70.2,74.94,53.2,6.27,2569,408,240,3217,56.0,22.07497891718133,41.6,-5.7,100.0,7.0,104271843,109045796
44,202109,25,202110,2021,78.0,32.5,32.75,38.0,71.5,0.0,79.5,0.0,9.0,66.0,81.5,75.5,74.94,53.2,6.27,2472,408,219,3099,60.0,24.67225571264172,45.0,-1.1,100.0,5.0,104271843,109045796
